"timestamp (abs)","sample rate (Hz)","Channel-7","Channel-6","Channel-5","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
8886,20000,1,1,1,0,1,0,0,0
8888,20000,1,1,1,1,1,0,0,0
9021,20000,1,1,0,1,1,0,0,0
9024,20000,1,1,0,0,1,0,0,0
9036,20000,1,0,0,0,1,0,0,0
9038,20000,0,0,0,0,1,0,0,0
9200,20000,1,0,0,0,1,0,0,0
9204,20000,1,1,0,0,1,0,0,0
9220,20000,1,1,1,1,1,0,0,0
9353,20000,1,1,1,1,1,1,0,0
9372,20000,1,1,0,1,1,1,0,0
9381,20000,1,1,0,1,1,1,1,1
9385,20000,0,0,0,1,1,1,1,1
9400,20000,0,0,0,0,1,1,1,1
9517,20000,0,0,0,1,1,1,1,1
9524,20000,1,0,0,1,1,1,1,1
9526,20000,1,1,0,1,1,1,1,1
9530,20000,1,1,1,1,1,1,1,1
9710,20000,1,1,0,1,1,1,1,1
9716,20000,0,0,0,1,1,1,1,1
9730,20000,0,0,0,0,1,1,1,1
9753,20000,0,0,0,0,1,0,0,1
9761,20000,0,0,0,0,1,0,0,0
9866,20000,1,0,0,0,1,0,0,0
9872,20000,1,1,0,0,1,0,0,0
9873,20000,1,1,1,1,1,1,0,0
9941,20000,1,1,1,1,1,1,1,1
10043,20000,1,1,0,1,1,1,1,1
10050,20000,0,0,0,1,1,1,1,1
10064,20000,0,0,0,0,1,1,1,1
10184,20000,0,0,0,1,1,1,1,1
10190,20000,1,0,0,1,1,1,1,1
10193,20000,0,0,0,0,1,0,0,0
10201,20000,1,0,0,0,1,0,0,0
10204,20000,1,1,0,0,1,0,0,0
10220,20000,1,1,1,0,1,0,0,0
10223,20000,1,1,1,1,1,0,0,0
10352,20000,1,1,0,1,1,0,0,0
10354,20000,1,1,0,0,1,0,0,0
10368,20000,1,0,0,0,1,0,0,0
10369,20000,0,0,0,0,1,0,0,0
10532,20000,1,0,0,0,1,0,0,0
10537,20000,1,1,0,0,1,0,0,0
10552,20000,1,1,1,0,1,0,0,0
10554,20000,1,1,1,1,1,0,0,0
10593,20000,1,1,1,1,1,1,1,1
10710,20000,1,1,0,1,1,1,1,1
10716,20000,0,1,0,1,1,1,1,1
10717,20000,0,0,0,1,1,1,1,1
10731,20000,0,0,0,0,1,1,1,1
10850,20000,0,0,0,1,1,1,1,1
10858,20000,1,0,0,1,1,1,1,1
10861,20000,1,1,0,1,1,1,1,1
10864,20000,1,1,1,1,1,1,1,1
11042,20000,1,1,0,1,1,1,1,1
11048,20000,0,1,0,1,1,1,1,1
11049,20000,0,0,0,1,1,1,1,1
11062,20000,0,0,0,0,1,1,1,1
11186,20000,0,0,0,1,1,1,1,1
11191,20000,1,0,0,1,1,1,1,1
11194,20000,1,1,0,1,1,1,1,1
11197,20000,1,1,1,1,1,1,1,1
