"timestamp (abs)","sample rate (Hz)","Channel-7","Channel-6","Channel-5","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
5754,10000,1,1,0,1,1,0,0,0
5756,10000,1,1,0,0,1,0,0,0
5759,10000,1,0,0,0,1,0,0,0
5765,10000,0,0,0,0,1,0,0,0
5838,10000,1,0,0,0,1,0,0,0
5840,10000,1,1,0,0,1,0,0,0
5845,10000,1,1,1,0,1,0,0,0
5846,10000,1,1,1,1,1,0,0,0
5922,10000,1,1,0,1,1,0,0,0
5924,10000,1,1,0,0,1,0,0,0
5927,10000,1,0,0,0,1,0,0,0
5935,10000,0,0,0,0,1,0,0,0
6005,10000,1,0,0,0,1,0,0,0
6006,10000,1,1,0,0,1,0,0,0
6011,10000,1,1,1,1,1,0,0,0
6089,10000,1,1,0,1,1,0,0,0
6091,10000,1,1,0,0,1,0,0,0
6094,10000,1,0,0,0,1,0,0,0
6102,10000,0,0,0,0,1,0,0,0
6144,10000,0,0,0,0,1,1,0,0
6147,10000,0,0,0,0,1,1,1,1
6165,10000,0,0,0,1,1,1,1,1
6166,10000,1,1,0,1,1,1,1,1
6169,10000,1,1,1,1,1,1,1,1
6267,10000,1,1,0,1,1,1,1,1
6269,10000,1,0,0,1,1,1,1,1
6273,10000,1,0,0,0,1,1,1,1
6274,10000,0,0,0,0,1,1,1,1
6333,10000,0,0,0,1,1,1,1,1
6334,10000,1,1,0,1,1,1,1,1
6336,10000,1,1,1,1,1,1,1,1
6364,10000,1,1,1,1,1,0,0,1
6367,10000,1,1,1,1,1,0,0,0
6422,10000,1,1,0,1,1,0,0,0
6423,10000,1,1,0,0,1,0,0,0
6427,10000,1,0,0,0,1,0,0,0
6433,10000,0,0,0,0,1,0,0,0
6505,10000,1,0,0,0,1,0,0,0
6506,10000,1,1,0,0,1,0,0,0
6511,10000,1,1,1,0,1,0,0,0
6512,10000,1,1,1,1,1,0,0,0
6589,10000,1,1,0,1,1,0,0,0
6591,10000,1,1,0,0,1,0,0,0
6594,10000,1,0,0,0,1,0,0,0
6601,10000,0,0,0,0,1,0,0,0
6671,10000,1,0,0,0,1,0,0,0
6673,10000,1,1,0,0,1,0,0,0
6678,10000,1,1,1,0,1,0,0,0
6679,10000,1,1,1,1,1,0,0,0
6684,10000,1,1,1,1,1,1,0,0
6687,10000,1,1,1,1,1,1,1,1
6766,10000,1,1,0,1,1,1,1,1
6769,10000,1,0,0,1,1,1,1,1
6773,10000,1,0,0,0,1,1,1,1
6774,10000,0,0,0,0,1,1,1,1
6832,10000,0,0,0,1,1,1,1,1
6833,10000,1,1,0,1,1,1,1,1
6836,10000,1,1,1,1,1,1,1,1
6914,10000,1,1,1,1,1,0,0,0
6922,10000,1,1,0,1,1,0,0,0
6923,10000,1,1,0,0,1,0,0,0
6926,10000,1,0,0,0,1,0,0,0
6933,10000,0,0,0,0,1,0,0,0
7005,10000,1,0,0,0,1,0,0,0
7006,10000,1,1,0,0,1,0,0,0
7011,10000,1,1,1,0,1,0,0,0
7012,10000,1,1,1,1,1,0,0,0
7089,10000,1,1,0,1,1,0,0,0
7091,10000,1,1,0,0,1,0,0,0
7094,10000,1,0,0,0,1,0,0,0
7101,10000,0,0,0,0,1,0,0,0
7171,10000,1,0,0,0,1,0,0,0
7173,10000,1,1,0,0,1,0,0,0
7178,10000,1,1,1,1,1,0,0,0
7254,10000,1,1,1,1,1,1,0,0
7257,10000,1,1,1,1,1,1,1,1
7266,10000,1,1,0,1,1,1,1,1
7268,10000,1,0,0,1,1,1,1,1
7273,10000,1,0,0,0,1,1,1,1
7274,10000,0,0,0,0,1,1,1,1
7332,10000,0,0,0,1,1,1,1,1
7333,10000,1,1,0,1,1,1,1,1
7335,10000,1,1,1,1,1,1,1,1
7432,10000,1,1,0,1,1,1,1,1
7434,10000,1,0,0,1,1,1,1,1
7439,10000,0,0,0,0,1,1,1,1
7499,10000,0,0,0,1,1,1,1,1
7501,10000,1,1,0,1,1,1,1,1
7503,10000,1,1,1,1,1,1,1,1
7598,10000,1,1,0,1,1,1,1,1
7600,10000,1,0,0,1,1,1,1,1
7604,10000,0,0,0,1,1,1,1,1
7605,10000,0,0,0,0,1,1,1,1
7664,10000,0,0,0,0,1,0,0,1
7667,10000,0,0,0,0,1,0,0,0
7673,10000,1,0,0,0,1,0,0,0
7674,10000,1,1,0,0,1,0,0,0
7679,10000,1,1,1,0,1,0,0,0
7680,10000,1,1,1,1,1,0,0,0
7754,10000,1,1,0,1,1,0,0,0
7755,10000,1,1,0,0,1,0,0,0
7758,10000,1,0,0,0,1,0,0,0
7765,10000,0,0,0,0,1,0,0,0
7838,10000,1,0,0,0,1,0,0,0
7839,10000,1,1,0,0,1,0,0,0
7845,10000,1,1,1,1,1,0,0,0
7922,10000,1,1,0,1,1,0,0,0
7924,10000,1,1,0,0,1,0,0,0
7927,10000,1,0,0,0,1,0,0,0
7934,10000,0,0,0,0,1,0,0,0
8005,10000,1,0,0,0,1,0,0,0
8006,10000,1,1,0,0,1,0,0,0
8011,10000,1,1,1,1,1,0,0,0
8089,10000,1,1,0,1,1,0,0,0
8091,10000,1,1,0,0,1,0,0,0
8094,10000,1,0,0,0,1,0,0,0
8101,10000,0,0,0,0,1,0,0,0
8134,10000,0,0,0,0,1,1,1,1
8165,10000,0,0,0,1,1,1,1,1
8166,10000,1,1,0,1,1,1,1,1
8168,10000,1,1,1,1,1,1,1,1
8266,10000,1,1,0,1,1,1,1,1
8268,10000,1,0,0,1,1,1,1,1
8272,10000,1,0,0,0,1,1,1,1
8273,10000,0,0,0,0,1,1,1,1
8332,10000,0,0,0,1,1,1,1,1
8333,10000,0,1,0,1,1,1,1,1
8334,10000,1,1,0,1,1,1,1,1
8336,10000,1,1,1,1,1,1,1,1
8432,10000,1,1,0,1,1,1,1,1
8433,10000,1,0,0,1,1,1,1,1
8438,10000,0,0,0,0,1,1,1,1
8494,10000,0,0,0,0,1,0,0,1
8497,10000,0,0,0,0,1,0,0,0
8506,10000,1,0,0,0,1,0,0,0
8507,10000,1,1,0,0,1,0,0,0
8512,10000,1,1,1,0,1,0,0,0
8513,10000,1,1,1,1,1,0,0,0
8587,10000,1,1,0,1,1,0,0,0
8589,10000,1,1,0,0,1,0,0,0
8592,10000,1,0,0,0,1,0,0,0
8598,10000,0,0,0,0,1,0,0,0
8671,10000,1,0,0,0,1,0,0,0
8672,10000,1,1,0,0,1,0,0,0
8678,10000,1,1,1,1,1,0,0,0
8714,10000,1,1,1,1,1,1,0,0
8718,10000,1,1,1,1,1,1,1,1
